epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,5585.24,1.47448,1.25008,1.46434,0.94028,0.70562,0.76112,0.46664,1.47591,1.06929,1.44632,0.0005546,0.0005546,0.0005546
75,5658.89,1.48868,1.28982,1.47601,0.93443,0.70452,0.75717,0.46997,1.42668,1.06808,1.42257,0.0005348,0.0005348,0.0005348
76,5731.47,1.47384,1.26831,1.48032,0.96185,0.70112,0.75535,0.46136,1.43561,1.09149,1.41694,0.000515,0.000515,0.000515
77,5804.24,1.49363,1.29485,1.48332,0.93489,0.70562,0.75875,0.46077,1.47256,1.0663,1.43177,0.0004952,0.0004952,0.0004952
78,5876.86,1.49262,1.28417,1.47174,0.94047,0.71001,0.76787,0.46305,1.50584,1.06647,1.45006,0.0004754,0.0004754,0.0004754
79,5949.93,1.47009,1.24531,1.4629,0.93599,0.70112,0.76344,0.46435,1.4845,1.0603,1.43594,0.0004556,0.0004556,0.0004556
80,6023.32,1.48269,1.26808,1.4675,0.97299,0.69888,0.76269,0.47478,1.41899,1.03689,1.41341,0.0004358,0.0004358,0.0004358
81,6096.49,1.47008,1.23785,1.44576,0.96569,0.69583,0.75369,0.45559,1.4823,1.05053,1.42883,0.000416,0.000416,0.000416
82,6169.21,1.45974,1.25914,1.46294,0.93157,0.70366,0.75976,0.47105,1.44202,1.03849,1.43036,0.0003962,0.0003962,0.0003962
83,6241.95,1.46024,1.25099,1.45288,0.945,0.69496,0.75278,0.47466,1.44447,1.0432,1.42407,0.0003764,0.0003764,0.0003764
84,6315.72,1.43829,1.22776,1.45057,0.95368,0.69403,0.76234,0.46661,1.45422,1.03024,1.42458,0.0003566,0.0003566,0.0003566
85,6388.41,1.46414,1.26283,1.45185,0.93981,0.70178,0.75915,0.47085,1.43375,1.03253,1.39428,0.0003368,0.0003368,0.0003368
86,6461.39,1.45702,1.21855,1.44253,0.93463,0.71461,0.76486,0.47904,1.41545,1.02009,1.39948,0.000317,0.000317,0.000317
87,6533.98,1.46368,1.22258,1.45427,0.95421,0.7024,0.75989,0.47943,1.41225,1.02839,1.39939,0.0002972,0.0002972,0.0002972
88,6607.55,1.42583,1.19474,1.43084,0.9597,0.69568,0.76225,0.47376,1.43442,1.01368,1.40429,0.0002774,0.0002774,0.0002774
89,6680.57,1.43075,1.20135,1.42916,0.95718,0.69888,0.76075,0.48353,1.39662,1.0182,1.39456,0.0002576,0.0002576,0.0002576
90,6753.59,1.43635,1.23765,1.43892,0.94669,0.70337,0.75993,0.46537,1.47469,1.02463,1.44362,0.0002378,0.0002378,0.0002378
91,6848.05,1.28322,1.09751,1.45127,0.94802,0.69888,0.76069,0.47688,1.44651,1.02394,1.41544,0.000218,0.000218,0.000218
92,6913.09,1.26719,1.05426,1.45312,0.92836,0.71011,0.75869,0.47433,1.42717,1.03052,1.41172,0.0001982,0.0001982,0.0001982
93,6978.22,1.25676,1.06059,1.44351,0.95515,0.69888,0.76026,0.47257,1.46148,1.02849,1.43146,0.0001784,0.0001784,0.0001784
94,7042.86,1.27702,1.07344,1.46272,0.95754,0.7095,0.76175,0.47047,1.45528,1.02185,1.41578,0.0001586,0.0001586,0.0001586
95,7107.17,1.2505,1.05675,1.44498,0.95097,0.71011,0.76529,0.47454,1.47087,1.02563,1.43037,0.0001388,0.0001388,0.0001388
96,7171.92,1.24774,1.05222,1.43582,0.94378,0.7168,0.7629,0.46515,1.47133,1.02995,1.42865,0.000119,0.000119,0.000119
97,7236.46,1.22995,1.03328,1.4233,0.94696,0.70562,0.76183,0.47076,1.47476,1.02607,1.43397,9.92e-05,9.92e-05,9.92e-05
98,7300.81,1.21015,1.03685,1.41882,0.9483,0.71011,0.76668,0.47855,1.45768,1.01847,1.43206,7.94e-05,7.94e-05,7.94e-05
99,7364.84,1.23644,1.03938,1.42777,0.94601,0.70787,0.76137,0.47528,1.45869,1.01312,1.43258,5.96e-05,5.96e-05,5.96e-05
100,7429.06,1.23216,1.04675,1.42946,0.94295,0.70572,0.76081,0.47403,1.44779,1.02035,1.42173,3.98e-05,3.98e-05,3.98e-05
